
Genesis
                        3:6      2.8.15
                        3:6      2.10.9
                        3:7-10      4.20.30
                        3:14 Vg      1.13.23
                        3:21      1.17.7
                        4:2-4      4.17.15
                        4:11      1.13.14
                        4:19      3.24.13
                        4:21      1.18.2
                        4:21      2.4.4
                        4:21      2.4.4
                        4:21p, cf Vg      3.24.13
                        4:25      4.15.22
                        6:7      2.10.8
                        6:23      2.13.3
                        7:1      1.13.9
                        7:3-4      2.4.4
                        7:10      4.17.15
                        7:11      1.8.6
                        7:12      4.17.15
                        7:15      4.17.15
                        8:15      1.18.2
                        8:32      1.18.2
                        9:11      1.8.6
                        9:12      1.18.2
                        9:16      3.24.14
                        9:34      1.18.2
                        10:1      1.18.2
                        10:1      2.4.4
                        10:20      1.18.2
                        10:20      2.4.4
                        10:27      1.18.2
                        10:27      2.4.4
                        11:2-3      2.4.6
                        11:10      1.18.2
                        11:10      2.4.4
                        12:5      4.16.31, par 17
                        12:11      4.17.21
                        12:11      4.17.22
                        12:26      4.16.30
                        12:40      1.8.3
                        12:43      4.17.22
                        13:2      4.16.31, par 17
                        13:21      2.14.8
                        13:21      4.15.9
                        14:8      1.18.2
                        14:8      2.4.4
                        14:17      1.18.2
                        14:19      1.14.6
                        14:21      4.15.9
                        14:26-28      4.15.9
                        14:28      4.15.11
                        14:30-31      4.15.9
                        14:31      4.8.2
                        15:3      4.17.23
                        15:16      4.16.13
                        16:7      1.8.6
                        16:13      1.8.5
                        16:13      1.16.7
                        16:13      4.18.20
                        16:14ff      4.17.34
                        16:19-20      1.8.6
                        17:6      1.8.5
                        17:6      4.17.15
                        17:6      4.17.21
                        17:6      4.18.20
                        17:15, cf Vg      1.13.9
                        18:13-26      4.11.8
                        18:13-26      4.20.8
                        18:20p      2.8.59
                        19:5      4.16.13
                        19:6      2.7.1
                        19:16      1.8.5
                        20:2-3      2.8.8
                        20:2-3, cf Vg      2.8.13
                        20:3      1.13.24
                        20:3p      2.8.16
                        20:3-17      2.2.24
                        20:4      PA5
                        20:4      1.11.1
                        20:4      1.11.12
                        20:4-5, cf Vg      2.8.17
                        20:5      1.12.1
                        20:5-6p      2.8.18
                        20:6p      2.10.9
                        20:6      4.16.9
                        20:6      4.16.15
                        20:7      2.8.22
                        20:8ff      2.3.9
                        20:8-10, cf Vg      2.8.28
                        20:12ff      2.2.24
                        20:12, cf Vg      2.8.35
                        20:12-16      2.8.52
                        20:13 Vg      2.8.39
                        20:13      4.20.10
                        20:14 Vg      2.8.41
                        20:15 Vg      2.8.45
                        20:16      2.8.47
                        20:17 Vg      2.8.49
                        20:20      3.14.1
                        20:24      4.1.5
                        20:25      1.11.9
                        21:13      1.16.6
                        21:13      1.18.3
                        21:17      2.8.36
                        22:1-4      4.20.16
                        22:8      2.8.29
                        22:8      4.20.4
                        22:10-11      2.8.26
                        22:29 Vg      3.7.5
                        23:1      2.8.47
                        23:4-5      2.8.56
                        23:7p      2.8.47
                        23:12      2.8.32
                        23:13      2.8.25
                        23:13      2.8.25
                        23:19      3.7.5
                        23:20      1.14.6
                        23:38      2.8.29
                        24:18      1.8.5
                        24:18      4.12.20
                        25:9      4.14.20
                        25:17-21      1.11.3
                        25:40      2.7.1
                        25:40      4.14.20
                        26:30      4.14.20
                        28:9-21      3.20.18
                        28:41      4.19.31
                        29:7      4.19.31
                        29:9      4.2.9
                        29:36      4.18.13
                        30:10      3.4.30
                        30:30      4.19.31
                        31:2-11      2.2.16
                        31:13ff      2.8.29
                        31:13-14, cf Vg      2.8.29
                        31:16-17, cf Vg      2.8.29
                        32:1      1.11.8
                        32:4      PA 6
                        32:4      1.11.9
                        32:4      1.11.9
                        32:8      1.11.9
                        32:9      3.21.5
                        32:27-28      4.20.10
                        32:32      3.20.35
                        33:11      1.11.3
                        33:19      2.5.17
                        33:19      3.11.11
                        33:19      3.22.6
                        33:19p      3.22.8
                        33:19p      3.24.16
                        33:20      1.11.3
                        34:6-7, cf Vg      1.10.2
                        34:6-7, cf Vg      2.8.19
                        34:7      2.17.4
                        34:28      4.12.20
                        34:29      1.8.5
                        35:2      2.8.29
                        35:2      2.8.29
                        35:30-35      2.2.16
                        40:34      1.8.5

  Leviticus
                        ch. 1 to 10      4.14.20
                        1:4      4.3.16
                        1:5      4.18.12
                        3:2      4.3.16
                        3:8      4.3.16
                        3:13      4.3.16
                        ch. 4      4.1.28
                        ch. 4:1 to 7:16      3.4.30
                        4:4      4.3.16
                        4:15      4.3.16
                        4:24      4.3.16
                        4:29      4.3.16
                        4:33      4.3.16
                        5:8      4.19.28
                        6:1ff      4.1.28
                        8:4-6      4.3.15
                        8:7      4.19.31
                        8:9      4.19.31
                        8:13      4.19.31
                        8:14-16      4.19.31
                        8:18-21      4.19.31
                        8:22-24      4.19.31
                        ch. 11 to 15      4.14.20
                        11:44      2.8.14
                        14:2-3      3.4.4
                        16:2-3      2.15.6
                        16:21      2.7.17
                        16:21      3.4.10
                        16:34      2.17.4
                        17:11      4.17.21
                        18:5p      2.8.4
                        18:5, cf Comm      2.17.5
                        18:5      3.4.28
                        18:5      3.14.13
                        18:5      3.17.3
                        18:6ff      4.19.37
                        19:2      2.8.14
                        19:2      3.6.2
                        19:2      4.19.25
                        19:11      2.8.47
                        19:12      2.8.24
                        19:16      2.8.47
                        19:18p      2.8.51
                        19:18      2.8.54
                        19:18      2.8.56
                        19:18      4.20.19
                        19:31      4.1.5
                        20:6      1.8.6
                        20:7      4.19.25
                        20:9      2.8.36
                        25:23      3.10.1
                        26:3-4      1.16.5
                        26:3ff      2.5.10
                        26:3-39      2.8.4
                        26:11      2.10.8
                        26:12      2.10.8
                        26:13      1.11.9
                        26:19      1.16.5
                        26:20      3.20.44
                        26:23-24, cf Comm      1.17.8
                        26:26      3.20.44
                        26:33      2.11.1
                        26:36      1.3.2
                        26:36      1.18.2
                        26:36      2.4.6

  Numbers
                        6:5      4.19.26
                        6:18      4.19.26
                        8:12      4.3.16
                        9:15      4.15.9
                        11:9      1.8.5
                        11:16      4.17.23
                        11:18      3.20.51
                        11:31      1.16.7
                        11:33      3.20.51
                        12:1      1.8.4
                        14:18      PA5
                        14:18      2.8.19
                        14:43 Vg      2.5.11
                        15:22ff      3.4.30
                        15:32-36      2.8.29
                        16:24      1.8.5
                        20:10-11      1.8.5
                        20:26-27      4.3.15
                        21:8      4.18.20
                        23:10p      2.10.14
                        23:19p, cf Vg      1.17.12
                        27:23      4.3.16
                        28:3ff      4.1.25

  Deuteronomy
                        1:9-17      4.20.8
                        1:16      4.20.6
                        1:16-17      4.20.4
                        1:16-17p      4.20.9
                        1:39      4.16.19
                        2:30      1.18.2
                        2:30, cf Comm      2.4.3
                        2:30      2.4.4
                        4:2      4.8.6
                        4:2      4.8.13
                        4:2      4.9.2
                        4:2      4.10.25
                        4:7p, cf Comm      3.24.16
                        4:9, cf Vg      2.8.5
                        4:11      1.11.3
                        4:12, cf Comm      1.11.2
                        4:15      1.11.2
                        4:15      1.11.2
                        4:16      1.11.2
                        4:17      2.8.17
                        4:19      2.8.17
                        4:37      3.21.5
                        5:10      2.8.21
                        5:11      2.8.22
                        5:12ff      2.3.9
                        5:14-15 Vg      2.8.32
                        5:17      4.20.10
                        5:29      4.8.6
                        5:32      4.8.6
                        6:4      1.13.11
                        6:4-5      2.8.8
                        6:5p      2.8.51
                        6:5      3.3.6
                        6:5      3.3.11
                        6:5      3.19.4
                        6:13      2.8.25
                        6:16      4.13.3
                        6:25p      3.17.7
                        7:6      2.8.14
                        7:6      3.21.5
                        7:7-8p, cf Vg      3.21.5
                        7:9p      3.17.5
                        7:9      3.17.6
                        7:12-13p      3.17.1
                        8:2      3.20.46
                        8:3      1.16.7
                        8:3      3.20.44
                        8:17-18      3.20.44
                        8:18      3.20.44
                        9:6      3.21.5
                        10:12      3.3.6
                        10:12-13, cf Vg      2.8.51
                        10:14, 15p, cf Vg      2.11.11
                        10:14-15, cf Vg      3.21.5
                        10:15      4.16.3
                        10:16      2.5.4
                        10:16      2.5.8
                        10:16      3.3.6
                        10:16      4.16.3
                        10:16      4.16.20
                        10:16      4.16.21
                        10:17      3.23.10
                        10:20      2.8.25
                        11:12      4.17.23
                        11:13      2.8.51
                        11:13-14      1.16.5
                        11:22      2.8.51
                        11:26      3.17.1
                        12:11      4.2.9
                        12:13      4.2.9
                        12:28, cf Vg      2.8.5
                        12:32, cf Vg      2.8.5
                        12:32      3.20.24
                        12:32      4.9.2
                        12:32      4.10.17
                        13:1      4.8.6
                        13:2ff      PA3
                        13:2ff      PA3
                        13:3 Vg      3.20.46
                        14:2      2.8.14
                        16:19      4.20.9
                        17:8-9      3.4.4
                        17:9-13      4.8.2
                        17:10-11      4.8.2
                        17:16-19      4.20.9
                        17:16ff      4.20.26
                        17:18-19      1.8.9
                        17:19      2.8.46
                        18:10-11      4.1.5
                        18:11      3.5.6
                        18:15      4.1.5
                        19:5      1.18.3
                        19:18-21      4.20.16
                        21:18-21      2.8.36
                        21:23      2.7.15
                        21:23      2.16.6
                        21:23      2.16.6
                        23:5      3.21.5
                        24:13p      3.17.7
                        26:18-19      2.8.14
                        27:26      2.7.5
                        27:26p      2.7.15
                        27:26      3.12.1
                        27:26      3.14.13
                        27:26      3.17.1
                        27:26      3.17.9
                        ch. 28      2.8.4
                        28:1, cf Vg      2.5.10
                        28:2pff      1.17.8
                        28:12      1.16.5
                        28:15pff      1.17.8
                        28:22      1.16.5
                        28:28      1.18.2
                        28:29      4.20.25
                        28:36      2.11.1
                        28:65      2.4.6
                        29:3-4, cf Vg      2.2.20
                        29:19      3.17.5
                        29:19ff      3.3.7
                        29:29p      1.17.2
                        29:29, cf Vg      3.21.3
                        30:2      3.3.6
                        30:3-4, cf Vg      4.1.24
                        30:6      2.5.8
                        30:6      2.5.12
                        30:6      3.3.6
                        30:6      3.3.6
                        30:6      4.16.3
                        30:6      4.16.20
                        30:10      3.3.6
                        30:11p      2.5.12
                        30:11-14      1.17.2
                        30:12      1.7.5
                        30:12p      2.5.12
                        30:14      1.7.5
                        30:14p      2.5.12
                        30:14      3.24.3
                        30:15      3.17.1
                        30:19      2.5.4
                        30:19p      2.7.3
                        30:20      2.8.51
                        ch. 32      1.8.7
                        32:8-9p      2.11.11
                        32:8-9p, cf Vg      3.21.5
                        32:9      3.21.7
                        32:15      3.8.5
                        32:17      4.13.17
                        32:22      3.12.1
                        32:35      2.8.56
                        32:35      4.20.19
                        32:37      1.11.10
                        32:46-47, cf Vg      2.7.13
                        33:3p      2.10.9
                        33:29      2.10.8
                        34:5      4.6.11

  Joshua
                        1:7p      4.9.12
                        1:8p      4.9.12
                        2:1      3.24.11
                        2:9ff      2.4.6
                        5:14      1.14.5
                        7:19      2.8.24
                        10:13      1.16.2
                        11:20      1.18.2
                        24:2      1.11.8
                        24:2-3      3.24.2

  Judges
                        2:1      1.14.6
                        3:9      3.20.15
                        3:9      4.20.30
                        6:11      1.13.10
                        6:11      1.14.6
                        6:12      1.13.10
                        6:14      1.14.5
                        6:20      1.13.10
                        6:21      1.13.10
                        6:22      1.13.10
                        6:22-23      1.1.3
                        6:34      2.2.17
                        6:37-38      4.14.18
                        7:5      1.13.10
                        7:9      1.13.10
                        8:27      4.10.25
                        9:20      3.20.15
                        11:30-31      4.13.3
                        13:3-20      1.14.6
                        13:10      1.14.5
                        13:16      1.13.10
                        13:18      1.13.10
                        13:19      4.10.25
                        13:20      1.13.10
                        13:22      1.1.3
                        13:22      1.13.10
                        13:22      1.14.5
                        13:23      1.13.10
                        16:28p      3.20.15
                        21:25      4.20.9

  Ruth
                        3:13      2.8.27

  1 Samuel
                        1:13      3.20.33
                        2:6p      3.20.52
                        2:9 Vg      2.10.18
                        2:10      2.6.2
                        2:25      1.18.3
                        2:25      3.24.14
                        2:34      1.18.1
                        2:35, cf Vg      2.6.2
                        6:9      1.16.9
                        7:2-3      3.3.5
                        7:6      4.12.17
                        7:9      3.20.9
                        7:17      4.10.25
                        8:7      4.20.7
                        8:11-17      4.20.26
                        ch. 9ff      3.2.12
                        10:6      2.2.17
                        10:6p      2.3.4
                        10:26      2.2.17
                        11:6      2.4.6
                        11:15      1.8.7
                        12:22p      3.21.5
                        14:39      2.8.24
                        14:44      2.8.24
                        15:11      1.17.12
                        15:11      3.20.15
                        15:22      4.18.9
                        15:22-23p      4.10.17
                        15:23      3.4.33
                        15:29      1.17.12
                        15:29p      1.17.12
                        15:30      3.3.4
                        16:13      1.8.7
                        16:13      2.2.17
                        16:14      1.14.17
                        16:14      1.18.2
                        16:14      2.4.5
                        18:10      1.14.17
                        18:10      2.4.5
                        19:9      2.4.5
                        21:5ff      4.12.25
                        23:26-27      1.16.9
                        24:6, cf Vg      4.20.28
                        24:7      3.10.6
                        24:11      3.10.6
                        24:11, cf Vg      4.20.28
                        24:12      2.8.27
                        26:9      3.10.6
                        26:9-11, cf Vg      4.20.28
                        26:12      1.18.2
                        26:23p      3.17.14
                        31:13      4.12.17

  2 Samuel
                        1:12      4.12.17
                        3:9      2.8.24
                        5:8      4.16.31, par 5
                        7:12      2.13.3
                        7:12-13      3.4.32
                        7:14      3.4.32
                        7:27, cf Vg      3.20.13
                        7:27-29, cf Vg      3.20.14
                        10:12p      1.17.9
                        ch. 11      4.1.28
                        11:4      4.1.24
                        11:15      4.1.24
                        12:12p      1.18.1
                        12:13      3.3.4
                        12:13      3.4.10
                        12:13      4.1.24
                        12:13-14      3.4.31
                        12:16      3.3.4
                        12:18      3.4.33
                        16:10      1.18.1
                        16:10-11      1.18.4
                        16:11      1.17.8
                        16:11      1.18.1
                        16:22      1.18.1
                        16:22      1.18.4
                        17:7      1.17.7
                        17:14      1.17.7
                        17:14      2.4.6
                        22:7      4.17.23
                        22:20p      3.17.5
                        22:21      3.17.5
                        24:1      1.14.18
                        24:10      3.3.4
                        24:15      3.4.35

  1 Kings
                        1:21      3.11.3
                        2:5-6      4.20.10
                        2:5, 6, 8      4.20.10
                        8:23      3.17.5
                        8:23      3.17.6
                        8:27      3.20.40
                        8:29      4.17.23
                        8:46p      2.7.5
                        8:46      3.14.9
                        8:46-50, cf Vg      4.1.25
                        8:51      3.21.7
                        8:58p      2.3.9
                        11:13      2.6.2
                        11:23      1.18.4
                        11:31      1.18.1
                        11:32      2.6.2
                        11:39      2.6.2
                        ch. 12      2.15.3
                        12:10      1.17.7
                        12:10      2.4.6
                        12:14      2.4.6
                        12:15      1.17.7
                        12:15      1.18.4
                        12:20      1.18.4
                        12:28ff      4.2.8
                        12:30      4.20.32
                        12:31      4.2.9
                        15:4, cf Vg      2.6.2
                        15:11      4.10.23
                        18:10      2.8.27
                        18:17      PA7
                        18:18      PA7
                        18:42      3.20.3
                        19:8      4.12.20
                        19:10      PA6
                        19:13      1.1.3
                        19:14      PA6
                        19:18p      4.1.2
                        21:27      3.3.25
                        21:28-29      3.3.25
                        21:29      3.20.15
                        22:6      4.9.6
                        22:12      PA6
                        22:20      1.18.1
                        22:20-22      1.14.17
                        22:22      1.17.7
                        22:22      1.18.1
                        22:22      4.9.6
                        22:26-27      4.9.6
                        22:43      4.10.23

  2 Kings
                        5:1-14      3.2.32
                        5:17-19      3.2.32
                        6:16p      1.14.12
                        6:17      1.14.7
                        6:17      1.14.8
                        6:17      1.14.11
                        6:31      2.8.24
                        8:19      2.6.2
                        8:19      2.6.3
                        10:7      1.18.4
                        10:9, cf Vg      1.18.4
                        10:10p      1.18.4
                        12:2      4.10.23
                        14:3      4.10.23
                        15:3      4.10.23
                        15:34      4.10.23
                        16:10      4.10.23
                        16:10-18      4.10.23
                        17:24-25      4.10.23
                        17:24-41      3.2.13
                        17:32-33      4.10.23
                        17:32-33      4.15.22
                        17:41      4.10.23
                        ch. 18      4.15.16
                        18:3      4.10.23
                        18:15-16      4.4.8
                        19:4      3.20.14
                        19:28      4.17.23
                        19:35      1.14.6
                        20:1      1.17.12
                        20:2      3.3.4
                        20:3      3.14.19
                        20:3p      3.20.10
                        20:5      1.17.12
                        20:9-11      4.14.18
                        20:11      1.16.2
                        21:3-4      4.10.23
                        21:16      3.24.11
                        ch. 22; 23      4.15.16
                        22:1-2      4.10.23
                        22:8      1.8.9
                        ch. 24      2.15.3

  1 ch.onicles
                        16:11      4.1.5
                        28:2      4.1.5
                        29:15      3.10.1

  2 ch.onicles
                        7:14      4.1.5
                        19:6      4.20.4
                        19:6-7      2.8.46
                        19:6-7      4.20.6
                        22:11      2.13.3
                        32:24      1.17.12
                        34:15      1.8.9

  Ezra
                        9:2      4.16.6

  Nehemiah
                        1:4      4.12.16
                        1:5      3.17.5
                        1:5      3.17.6
                        1:7      3.4.11
                        9:1-2      3.4.11
                        9:14p      2.8.29

  Job
                        1:6      1.14.17
                        1:6      1.14.19
                        1:6      1.18.1
                        1:12      1.14.17
                        1:12      1.17.7
                        1:12      2.4.2
                        1:17      2.4.2
                        1:21      1.17.8
                        1:21 Vg(p)      1.18.1
                        1:21, cf Vg      1.18.3
                        1:21      2.4.2
                        2:1      1.14.17
                        2:1      1.14.19
                        2:1      1.18.1
                        2:6      1.14.17
                        3:9      3.12.1
                        4:17-20, cf Vg      3.12.1
                        4:18      3.12.1
                        4:18      3.17.9
                        4:19      1.15.1
                        4:19      1.15.2
                        5:13      1.5.8
                        5:13      3.12.1
                        5:17      3.4.32
                        7:5      1.1.3
                        7:8      4.17.23
                        9:2      2.7.5
                        9:2-3, cf Vg 3      3.12.2
                        9:5-6      3.12.1
                        9:20      3.12.1
                        9:20, cf Vg      3.12.5
                        10:15p      3.14.16
                        12:18p      4.20.28
                        12:20      2.2.17
                        12:20      2.4.4
                        12:24      1.18.2
                        12:24      2.2.17
                        12:24p      2.4.4
                        12:24      3.21.2
                        13:15 Vg, cf Comm      2.10.19
                        13:15      3.2.21
                        13:28      1.1.3
                        14:4, cf Vg      2.1.5
                        14:4, cf Vg      3.12.5
                        14:5      1.16.9
                        14:17p      3.4.29
                        14:26      3.14.19
                        15:15-16, cf Vg      3.12.1
                        15:16      3.12.5
                        18:17p      2.11.2
                        19:25-27 Vg      2.10.19
                        19:25-27p      3.25.4
                        20:3      1.17.2
                        20:3      3.1.4
                        21:13, cf Comm      2.10.17
                        25:4      2.7.5
                        25:5      3.12.1
                        25:5      3.14.9
                        25:5      3.17.9
                        25:6, cf Vg      3.12.5
                        26:6      3.12.1
                        26:14      1.17.2
                        28:21      1.17.2
                        28:28      1.17.2
                        28:28      3.2.26
                        34:30 Vg      4.20.25
                        38:1ff      1.1.3
                        41:11p, cf Vg 41:2      3.14.5

  Psalm

                        1:1      3.17.10
                        1:2      2.7.13
                        1:3      1.4.1
                        2:2p      2.15.3
                        2:4p      2.15.3
                        2:8p      2.11.11
                        2:9      PA2
                        2:9p      2.15.5
                        2:9      3.10.2
                        2:9      4.1.19
                        2:10-11      4.20.29
                        2:12      2.6.2
                        2:12      4.20.5
                        3:5      3.2.37
                        4:6;4:7      1.11.14
                        5:3 Comm      3.20.12
                        5:7p      3.2.23
                        5:7      3.20.11
                        5:9      2.3.2
                        6:1;6:2      3.4.32
                        7:6p      3.20.15
                        7:8p      3.17.14
                        7:17;7:18      3.4.9
                        8:2      1.5.3
                        8:2      1.16.3
                        8:4      1.5.3
                        8:4      2.13.2
                        9:1;9:2      3.4.9
                        9:10      3.2.31
                        10:7      2.3.2
                        10:11      1.4.2
                        11:4      1.5.1
                        12:2      4.14.8
                        12:6;11:7, cf Comm      3.2.15
                        14:1      1.4.2
                        14:1-3      2.3.2
                        14:2      3.14.1
                        14:3      2.3.3
                        15:1;14:1      3.17.6
                        15:1;14:1      3.24.8
                        15:1-2;14:1-2      3.6.2
                        15:2ff      3.17.6
                        15:2ff      3.24.8
                        16:2;15:2-3      2.8.53
                        16:2-3      3.7.5
                        16:3;15:3      1.11.14
                        16:5p      2.11.2
                        16:5-6p      3.25.10
                        16:10p      3.25.3
                        17:1;16:1      3.17.14
                        17:3;16:3      3.17.14
                        17:10      1.4.2
                        17:10 Vg      1.13.24
                        17:15p      2.10.17
                        17:15p      3.25.10
                        18:1p      3.20.28
                        18:6;17:6      3.4.16
                        18:10;17:10      1.13.24
